name,type,rule_str,r1,r2,r3,support,body,confidence,example_1,example_2,example_3,counter_1,counter_2
grandmother via mother chain,two_hop,"motherOf(X,Y) ^ motherOf(Y,Z) -> grandmotherOf(X,Z)",motherOf,motherOf,grandmotherOf,309,309,1.0,emma7-[motherOf]->paula12-[motherOf]->johanna22 => emma7-[grandmotherOf]->johanna22,karin41-[motherOf]->beate36-[motherOf]->marcel27 => karin41-[grandmotherOf]->marcel27,luisa47-[motherOf]->maria38-[motherOf]->hannah39 => luisa47-[grandmotherOf]->hannah39,,
grandmother via mother->father,two_hop,"motherOf(X,Y) ^ fatherOf(Y,Z) -> grandmotherOf(X,Z)",motherOf,fatherOf,grandmotherOf,338,338,1.0,emily15-[motherOf]->leon16-[fatherOf]->lena18 => emily15-[grandmotherOf]->lena18,ella19-[motherOf]->dominik2-[fatherOf]->selina10 => ella19-[grandmotherOf]->selina10,ella19-[motherOf]->dominik2-[fatherOf]->oskar24 => ella19-[grandmotherOf]->oskar24,,
grandfather via father->mother,two_hop,"fatherOf(X,Y) ^ motherOf(Y,Z) -> grandfatherOf(X,Z)",fatherOf,motherOf,grandfatherOf,309,309,1.0,moritz8-[fatherOf]->paula12-[motherOf]->johanna22 => moritz8-[grandfatherOf]->johanna22,thomas42-[fatherOf]->beate36-[motherOf]->marcel27 => thomas42-[grandfatherOf]->marcel27,marko48-[fatherOf]->maria38-[motherOf]->hannah39 => marko48-[grandfatherOf]->hannah39,,
grandfather via father chain,two_hop,"fatherOf(X,Y) ^ fatherOf(Y,Z) -> grandfatherOf(X,Z)",fatherOf,fatherOf,grandfatherOf,338,338,1.0,luis14-[fatherOf]->leon16-[fatherOf]->lena18 => luis14-[grandfatherOf]->lena18,david20-[fatherOf]->dominik2-[fatherOf]->selina10 => david20-[grandfatherOf]->selina10,david20-[fatherOf]->dominik2-[fatherOf]->oskar24 => david20-[grandfatherOf]->oskar24,,
aunt = sister of mother,two_hop,"sisterOf(X,Y) ^ motherOf(Y,Z) -> auntOf(X,Z)",sisterOf,motherOf,auntOf,232,232,1.0,katharina1-[sisterOf]->paula12-[motherOf]->johanna22 => katharina1-[auntOf]->johanna22,selina10-[sisterOf]->olivia0-[motherOf]->elias6 => selina10-[auntOf]->elias6,selina10-[sisterOf]->olivia0-[motherOf]->lisa5 => selina10-[auntOf]->lisa5,,
aunt = sister of father,two_hop,"sisterOf(X,Y) ^ fatherOf(Y,Z) -> auntOf(X,Z)",sisterOf,fatherOf,auntOf,253,253,1.0,katharina1-[sisterOf]->luis14-[fatherOf]->leon16 => katharina1-[auntOf]->leon16,paula12-[sisterOf]->luis14-[fatherOf]->leon16 => paula12-[auntOf]->leon16,natalie13-[sisterOf]->luis14-[fatherOf]->leon16 => natalie13-[auntOf]->leon16,,
uncle = brother of mother,two_hop,"brotherOf(X,Y) ^ motherOf(Y,Z) -> uncleOf(X,Z)",brotherOf,motherOf,uncleOf,229,229,1.0,luis14-[brotherOf]->katharina1-[motherOf]->selina10 => luis14-[uncleOf]->selina10,luis14-[brotherOf]->katharina1-[motherOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[brotherOf]->katharina1-[motherOf]->isabella11 => luis14-[uncleOf]->isabella11,,
uncle = brother of father,two_hop,"brotherOf(X,Y) ^ fatherOf(Y,Z) -> uncleOf(X,Z)",brotherOf,fatherOf,uncleOf,178,178,1.0,sebastian49-[brotherOf]->moritz31-[fatherOf]->hannah39 => sebastian49-[uncleOf]->hannah39,philipp70-[brotherOf]->simon54-[fatherOf]->elena55 => philipp70-[uncleOf]->elena55,david100-[brotherOf]->nico91-[fatherOf]->gertrude97 => david100-[uncleOf]->gertrude97,,
niece via daughter->sister,two_hop,"daughterOf(X,Y) ^ sisterOf(Y,Z) -> nieceOf(X,Z)",daughterOf,sisterOf,nieceOf,184,184,1.0,olivia0-[daughterOf]->katharina1-[sisterOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[daughterOf]->katharina1-[sisterOf]->luis14 => olivia0-[nieceOf]->luis14,olivia0-[daughterOf]->katharina1-[sisterOf]->natalie13 => olivia0-[nieceOf]->natalie13,,
niece via daughter->brother,two_hop,"daughterOf(X,Y) ^ brotherOf(Y,Z) -> nieceOf(X,Z)",daughterOf,brotherOf,nieceOf,156,156,1.0,sofia28-[daughterOf]->luca33-[brotherOf]->paula50 => sofia28-[nieceOf]->paula50,hannah39-[daughterOf]->moritz31-[brotherOf]->marlene40 => hannah39-[nieceOf]->marlene40,hannah39-[daughterOf]->moritz31-[brotherOf]->sebastian49 => hannah39-[nieceOf]->sebastian49,,
nephew via son->sister,two_hop,"sonOf(X,Y) ^ sisterOf(Y,Z) -> nephewOf(X,Z)",sonOf,sisterOf,nephewOf,161,161,1.0,jonas23-[sonOf]->paula12-[sisterOf]->katharina1 => jonas23-[nephewOf]->katharina1,jonas23-[sonOf]->paula12-[sisterOf]->luis14 => jonas23-[nephewOf]->luis14,jonas23-[sonOf]->paula12-[sisterOf]->natalie13 => jonas23-[nephewOf]->natalie13,,
nephew via son->brother,two_hop,"sonOf(X,Y) ^ brotherOf(Y,Z) -> nephewOf(X,Z)",sonOf,brotherOf,nephewOf,200,200,1.0,leon16-[sonOf]->luis14-[brotherOf]->katharina1 => leon16-[nephewOf]->katharina1,leon16-[sonOf]->luis14-[brotherOf]->paula12 => leon16-[nephewOf]->paula12,leon16-[sonOf]->luis14-[brotherOf]->natalie13 => leon16-[nephewOf]->natalie13,,
mother of sibling = your mother,two_hop,"motherOf(X,Y) ^ brotherOf(Y,Z) -> motherOf(X,Z)",motherOf,brotherOf,motherOf,332,370,0.8972972972972973,olivia0-[motherOf]->elias6-[brotherOf]->lisa5 => olivia0-[motherOf]->lisa5,katharina1-[motherOf]->oskar24-[brotherOf]->selina10 => katharina1-[motherOf]->selina10,katharina1-[motherOf]->oskar24-[brotherOf]->isabella11 => katharina1-[motherOf]->isabella11,olivia0-[motherOf]->elias6-[brotherOf]->nico4 but NO olivia0-[motherOf]->nico4,katharina1-[motherOf]->oskar24-[brotherOf]->olivia0 but NO katharina1-[motherOf]->olivia0
mother of sibling = your mother (sis),two_hop,"motherOf(X,Y) ^ sisterOf(Y,Z) -> motherOf(X,Z)",motherOf,sisterOf,motherOf,301,389,0.7737789203084833,olivia0-[motherOf]->lisa5-[sisterOf]->elias6 => olivia0-[motherOf]->elias6,katharina1-[motherOf]->selina10-[sisterOf]->isabella11 => katharina1-[motherOf]->isabella11,katharina1-[motherOf]->selina10-[sisterOf]->oskar24 => katharina1-[motherOf]->oskar24,olivia0-[motherOf]->lisa5-[sisterOf]->nico4 but NO olivia0-[motherOf]->nico4,katharina1-[motherOf]->selina10-[sisterOf]->olivia0 but NO katharina1-[motherOf]->olivia0
father of sibling = your father,two_hop,"fatherOf(X,Y) ^ brotherOf(Y,Z) -> fatherOf(X,Z)",fatherOf,brotherOf,fatherOf,332,370,0.8972972972972973,dominik2-[fatherOf]->oskar24-[brotherOf]->selina10 => dominik2-[fatherOf]->selina10,dominik2-[fatherOf]->oskar24-[brotherOf]->isabella11 => dominik2-[fatherOf]->isabella11,dominik2-[fatherOf]->oskar24-[brotherOf]->adam9 => dominik2-[fatherOf]->adam9,dominik2-[fatherOf]->oskar24-[brotherOf]->olivia0 but NO dominik2-[fatherOf]->olivia0,dominik2-[fatherOf]->adam9-[brotherOf]->olivia0 but NO dominik2-[fatherOf]->olivia0
father of sibling = your father (sis),two_hop,"fatherOf(X,Y) ^ sisterOf(Y,Z) -> fatherOf(X,Z)",fatherOf,sisterOf,fatherOf,301,389,0.7737789203084833,dominik2-[fatherOf]->selina10-[sisterOf]->isabella11 => dominik2-[fatherOf]->isabella11,dominik2-[fatherOf]->selina10-[sisterOf]->oskar24 => dominik2-[fatherOf]->oskar24,dominik2-[fatherOf]->selina10-[sisterOf]->adam9 => dominik2-[fatherOf]->adam9,dominik2-[fatherOf]->selina10-[sisterOf]->olivia0 but NO dominik2-[fatherOf]->olivia0,dominik2-[fatherOf]->isabella11-[sisterOf]->olivia0 but NO dominik2-[fatherOf]->olivia0
great-grandmother (m->m->m),three_hop,"motherOf(X,Y) ^ motherOf(Y,Z) ^ motherOf(Z,W) -> greatGrandmotherOf(X,W)",motherOf,motherOf,motherOf,96,96,1.0,amelie62->victoria53->elena55->tobias57 => amelie62-[greatGrandmotherOf]->tobias57,amelie62->victoria53->elena55->magdalena59 => amelie62-[greatGrandmotherOf]->magdalena59,claudia94->nora85->marlene86->emily102 => claudia94-[greatGrandmotherOf]->emily102,,
great-grandfather (f->f->f),three_hop,"fatherOf(X,Y) ^ fatherOf(Y,Z) ^ fatherOf(Z,W) -> greatGrandfatherOf(X,W)",fatherOf,fatherOf,fatherOf,129,129,1.0,moritz8->luis14->leon16->lena18 => moritz8-[greatGrandfatherOf]->lena18,marcel27->raphael29->moritz31->hannah39 => marcel27-[greatGrandfatherOf]->hannah39,tobias37->marcel27->raphael29->moritz31 => tobias37-[greatGrandfatherOf]->moritz31,,
great-grandmother (m->m->f),three_hop,"motherOf(X,Y) ^ motherOf(Y,Z) ^ fatherOf(Z,W) -> greatGrandmotherOf(X,W)",motherOf,motherOf,fatherOf,121,121,1.0,karin41->beate36->marcel27->raphael29 => karin41-[greatGrandmotherOf]->raphael29,alina32->sofia28->raphael29->moritz31 => alina32-[greatGrandmotherOf]->moritz31,alina32->sofia28->raphael29->sebastian49 => alina32-[greatGrandmotherOf]->sebastian49,,
great-grandfather (f->f->m),three_hop,"fatherOf(X,Y) ^ fatherOf(Y,Z) ^ motherOf(Z,W) -> greatGrandfatherOf(X,W)",fatherOf,fatherOf,motherOf,99,99,1.0,emil135->alexander137->marie139->lara150 => emil135-[greatGrandfatherOf]->lara150,michael226->gabriel216->lara217->oliver224 => michael226-[greatGrandfatherOf]->oliver224,david236->adrian213->marie215->jonathan219 => david236-[greatGrandfatherOf]->jonathan219,,
shared mother -> siblings,co_parent,"motherOf(X,Y) ^ motherOf(X,Z) ^ Y!=Z -> sibling(Y,Z)",motherOf,motherOf,sibling,440,440,1.0,"motherOf(olivia0,elias6) ^ motherOf(olivia0,lisa5) -> sibling(elias6,lisa5)","motherOf(katharina1,selina10) ^ motherOf(katharina1,oskar24) -> sibling(selina10,oskar24)","motherOf(katharina1,selina10) ^ motherOf(katharina1,isabella11) -> sibling(selina10,isabella11)",,
shared father -> siblings,co_parent,"fatherOf(X,Y) ^ fatherOf(X,Z) ^ Y!=Z -> sibling(Y,Z)",fatherOf,fatherOf,sibling,440,440,1.0,"fatherOf(dominik2,selina10) ^ fatherOf(dominik2,oskar24) -> sibling(selina10,oskar24)","fatherOf(dominik2,selina10) ^ fatherOf(dominik2,isabella11) -> sibling(selina10,isabella11)","fatherOf(dominik2,selina10) ^ fatherOf(dominik2,adam9) -> sibling(selina10,adam9)",,
