r1,r2,r3,support,body,confidence,example_1,example_2,example_3
sisterOf,sisterOf,sisterOf,392,392,1.0,olivia0-[sisterOf]->isabella11-[sisterOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[sisterOf]->isabella11-[sisterOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[sisterOf]->isabella11-[sisterOf]->selina10 => olivia0-[sisterOf]->selina10
nieceOf,grandsonOf,greatGranddaughterOf,374,374,1.0,lisa5-[nieceOf]->oskar24-[grandsonOf]->david20 => lisa5-[greatGranddaughterOf]->david20,lisa5-[nieceOf]->oskar24-[grandsonOf]->moritz8 => lisa5-[greatGranddaughterOf]->moritz8,lisa5-[nieceOf]->oskar24-[grandsonOf]->emma7 => lisa5-[greatGranddaughterOf]->emma7
nephewOf,granddaughterOf,greatGrandsonOf,360,360,1.0,fabian26-[nephewOf]->johanna22-[granddaughterOf]->moritz8 => fabian26-[greatGrandsonOf]->moritz8,fabian26-[nephewOf]->johanna22-[granddaughterOf]->emma7 => fabian26-[greatGrandsonOf]->emma7,nico4-[nephewOf]->isabella11-[granddaughterOf]->david20 => nico4-[greatGrandsonOf]->david20
grandfatherOf,uncleOf,greatGrandfatherOf,353,353,1.0,david20-[grandfatherOf]->adam9-[uncleOf]->elias6 => david20-[greatGrandfatherOf]->elias6,david20-[grandfatherOf]->adam9-[uncleOf]->lisa5 => david20-[greatGrandfatherOf]->lisa5,david20-[grandfatherOf]->adam9-[uncleOf]->nico4 => david20-[greatGrandfatherOf]->nico4
grandmotherOf,uncleOf,greatGrandmotherOf,353,353,1.0,ella19-[grandmotherOf]->adam9-[uncleOf]->elias6 => ella19-[greatGrandmotherOf]->elias6,ella19-[grandmotherOf]->adam9-[uncleOf]->lisa5 => ella19-[greatGrandmotherOf]->lisa5,ella19-[grandmotherOf]->adam9-[uncleOf]->nico4 => ella19-[greatGrandmotherOf]->nico4
sisterOf,brotherOf,sisterOf,352,352,1.0,olivia0-[sisterOf]->oskar24-[brotherOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[sisterOf]->oskar24-[brotherOf]->isabella11 => olivia0-[sisterOf]->isabella11,olivia0-[sisterOf]->oskar24-[brotherOf]->selina10 => olivia0-[sisterOf]->selina10
fatherOf,auntOf,grandfatherOf,348,348,1.0,dominik2-[fatherOf]->isabella11-[auntOf]->elias6 => dominik2-[grandfatherOf]->elias6,dominik2-[fatherOf]->isabella11-[auntOf]->lisa5 => dominik2-[grandfatherOf]->lisa5,dominik2-[fatherOf]->isabella11-[auntOf]->nico4 => dominik2-[grandfatherOf]->nico4
motherOf,auntOf,grandmotherOf,348,348,1.0,katharina1-[motherOf]->isabella11-[auntOf]->elias6 => katharina1-[grandmotherOf]->elias6,katharina1-[motherOf]->isabella11-[auntOf]->lisa5 => katharina1-[grandmotherOf]->lisa5,katharina1-[motherOf]->isabella11-[auntOf]->nico4 => katharina1-[grandmotherOf]->nico4
sisterOf,greatGranddaughterOf,greatGranddaughterOf,344,344,1.0,marlene40-[sisterOf]->marie43-[greatGranddaughterOf]->alina32 => marlene40-[greatGranddaughterOf]->alina32,marlene40-[sisterOf]->marie43-[greatGranddaughterOf]->tobias37 => marlene40-[greatGranddaughterOf]->tobias37,marlene40-[sisterOf]->marie43-[greatGranddaughterOf]->luca33 => marlene40-[greatGranddaughterOf]->luca33
fatherOf,fatherOf,grandfatherOf,338,338,1.0,luis14-[fatherOf]->leon16-[fatherOf]->lena18 => luis14-[grandfatherOf]->lena18,david20-[fatherOf]->dominik2-[fatherOf]->oskar24 => david20-[grandfatherOf]->oskar24,david20-[fatherOf]->dominik2-[fatherOf]->adam9 => david20-[grandfatherOf]->adam9
grandfatherOf,auntOf,greatGrandfatherOf,338,338,1.0,david20-[grandfatherOf]->isabella11-[auntOf]->elias6 => david20-[greatGrandfatherOf]->elias6,david20-[grandfatherOf]->isabella11-[auntOf]->lisa5 => david20-[greatGrandfatherOf]->lisa5,david20-[grandfatherOf]->isabella11-[auntOf]->nico4 => david20-[greatGrandfatherOf]->nico4
grandmotherOf,auntOf,greatGrandmotherOf,338,338,1.0,ella19-[grandmotherOf]->isabella11-[auntOf]->elias6 => ella19-[greatGrandmotherOf]->elias6,ella19-[grandmotherOf]->isabella11-[auntOf]->lisa5 => ella19-[greatGrandmotherOf]->lisa5,ella19-[grandmotherOf]->isabella11-[auntOf]->nico4 => ella19-[greatGrandmotherOf]->nico4
motherOf,fatherOf,grandmotherOf,338,338,1.0,emily15-[motherOf]->leon16-[fatherOf]->lena18 => emily15-[grandmotherOf]->lena18,ella19-[motherOf]->dominik2-[fatherOf]->oskar24 => ella19-[grandmotherOf]->oskar24,ella19-[motherOf]->dominik2-[fatherOf]->adam9 => ella19-[grandmotherOf]->adam9
nephewOf,grandsonOf,greatGrandsonOf,332,332,1.0,nico4-[nephewOf]->oskar24-[grandsonOf]->david20 => nico4-[greatGrandsonOf]->david20,nico4-[nephewOf]->oskar24-[grandsonOf]->moritz8 => nico4-[greatGrandsonOf]->moritz8,nico4-[nephewOf]->oskar24-[grandsonOf]->emma7 => nico4-[greatGrandsonOf]->emma7
sisterOf,daughterOf,daughterOf,329,329,1.0,olivia0-[sisterOf]->isabella11-[daughterOf]->katharina1 => olivia0-[daughterOf]->katharina1,olivia0-[sisterOf]->isabella11-[daughterOf]->dominik2 => olivia0-[daughterOf]->dominik2,olivia0-[sisterOf]->selina10-[daughterOf]->katharina1 => olivia0-[daughterOf]->katharina1
sisterOf,greatGrandsonOf,greatGranddaughterOf,328,328,1.0,lisa5-[sisterOf]->elias6-[greatGrandsonOf]->david20 => lisa5-[greatGranddaughterOf]->david20,lisa5-[sisterOf]->elias6-[greatGrandsonOf]->moritz8 => lisa5-[greatGranddaughterOf]->moritz8,lisa5-[sisterOf]->elias6-[greatGrandsonOf]->emma7 => lisa5-[greatGranddaughterOf]->emma7
sisterOf,sonOf,daughterOf,327,327,1.0,olivia0-[sisterOf]->oskar24-[sonOf]->katharina1 => olivia0-[daughterOf]->katharina1,olivia0-[sisterOf]->oskar24-[sonOf]->dominik2 => olivia0-[daughterOf]->dominik2,olivia0-[sisterOf]->adam9-[sonOf]->katharina1 => olivia0-[daughterOf]->katharina1
brotherOf,sisterOf,brotherOf,324,324,1.0,luis14-[brotherOf]->katharina1-[sisterOf]->paula12 => luis14-[brotherOf]->paula12,luis14-[brotherOf]->katharina1-[sisterOf]->natalie13 => luis14-[brotherOf]->natalie13,luis14-[brotherOf]->paula12-[sisterOf]->katharina1 => luis14-[brotherOf]->katharina1
auntOf,brotherOf,auntOf,320,320,1.0,katharina1-[auntOf]->jonas23-[brotherOf]->johanna22 => katharina1-[auntOf]->johanna22,selina10-[auntOf]->elias6-[brotherOf]->lisa5 => selina10-[auntOf]->lisa5,selina10-[auntOf]->elias6-[brotherOf]->nico4 => selina10-[auntOf]->nico4
greatGrandfatherOf,sisterOf,greatGrandfatherOf,316,316,1.0,david20-[greatGrandfatherOf]->lisa5-[sisterOf]->elias6 => david20-[greatGrandfatherOf]->elias6,david20-[greatGrandfatherOf]->lisa5-[sisterOf]->nico4 => david20-[greatGrandfatherOf]->nico4,moritz8-[greatGrandfatherOf]->lisa5-[sisterOf]->elias6 => moritz8-[greatGrandfatherOf]->elias6
greatGrandmotherOf,sisterOf,greatGrandmotherOf,316,316,1.0,ella19-[greatGrandmotherOf]->lisa5-[sisterOf]->elias6 => ella19-[greatGrandmotherOf]->elias6,ella19-[greatGrandmotherOf]->lisa5-[sisterOf]->nico4 => ella19-[greatGrandmotherOf]->nico4,emma7-[greatGrandmotherOf]->lisa5-[sisterOf]->elias6 => emma7-[greatGrandmotherOf]->elias6
nieceOf,granddaughterOf,greatGranddaughterOf,316,316,1.0,lisa5-[nieceOf]->isabella11-[granddaughterOf]->david20 => lisa5-[greatGranddaughterOf]->david20,lisa5-[nieceOf]->isabella11-[granddaughterOf]->moritz8 => lisa5-[greatGranddaughterOf]->moritz8,lisa5-[nieceOf]->isabella11-[granddaughterOf]->emma7 => lisa5-[greatGranddaughterOf]->emma7
greatGrandfatherOf,brotherOf,greatGrandfatherOf,310,310,1.0,david20-[greatGrandfatherOf]->elias6-[brotherOf]->lisa5 => david20-[greatGrandfatherOf]->lisa5,david20-[greatGrandfatherOf]->elias6-[brotherOf]->nico4 => david20-[greatGrandfatherOf]->nico4,david20-[greatGrandfatherOf]->nico4-[brotherOf]->elias6 => david20-[greatGrandfatherOf]->elias6
greatGrandmotherOf,brotherOf,greatGrandmotherOf,310,310,1.0,ella19-[greatGrandmotherOf]->elias6-[brotherOf]->lisa5 => ella19-[greatGrandmotherOf]->lisa5,ella19-[greatGrandmotherOf]->elias6-[brotherOf]->nico4 => ella19-[greatGrandmotherOf]->nico4,ella19-[greatGrandmotherOf]->nico4-[brotherOf]->elias6 => ella19-[greatGrandmotherOf]->elias6
fatherOf,motherOf,grandfatherOf,309,309,1.0,moritz8-[fatherOf]->paula12-[motherOf]->johanna22 => moritz8-[grandfatherOf]->johanna22,thomas42-[fatherOf]->beate36-[motherOf]->marcel27 => thomas42-[grandfatherOf]->marcel27,marko48-[fatherOf]->maria38-[motherOf]->hannah39 => marko48-[grandfatherOf]->hannah39
motherOf,motherOf,grandmotherOf,309,309,1.0,emma7-[motherOf]->paula12-[motherOf]->johanna22 => emma7-[grandmotherOf]->johanna22,karin41-[motherOf]->beate36-[motherOf]->marcel27 => karin41-[grandmotherOf]->marcel27,luisa47-[motherOf]->maria38-[motherOf]->hannah39 => luisa47-[grandmotherOf]->hannah39
sonOf,motherOf,brotherOf,307,307,1.0,luis14-[sonOf]->emma7-[motherOf]->paula12 => luis14-[brotherOf]->paula12,luis14-[sonOf]->emma7-[motherOf]->natalie13 => luis14-[brotherOf]->natalie13,jonas23-[sonOf]->paula12-[motherOf]->johanna22 => jonas23-[brotherOf]->johanna22
daughterOf,motherOf,sisterOf,306,306,1.0,olivia0-[daughterOf]->katharina1-[motherOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[daughterOf]->katharina1-[motherOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[daughterOf]->katharina1-[motherOf]->isabella11 => olivia0-[sisterOf]->isabella11
fatherOf,uncleOf,grandfatherOf,300,300,1.0,dominik2-[fatherOf]->oskar24-[uncleOf]->elias6 => dominik2-[grandfatherOf]->elias6,dominik2-[fatherOf]->oskar24-[uncleOf]->lisa5 => dominik2-[grandfatherOf]->lisa5,dominik2-[fatherOf]->oskar24-[uncleOf]->nico4 => dominik2-[grandfatherOf]->nico4
motherOf,uncleOf,grandmotherOf,300,300,1.0,katharina1-[motherOf]->oskar24-[uncleOf]->elias6 => katharina1-[grandmotherOf]->elias6,katharina1-[motherOf]->oskar24-[uncleOf]->lisa5 => katharina1-[grandmotherOf]->lisa5,katharina1-[motherOf]->oskar24-[uncleOf]->nico4 => katharina1-[grandmotherOf]->nico4
brotherOf,daughterOf,sonOf,297,297,1.0,luis14-[brotherOf]->katharina1-[daughterOf]->moritz8 => luis14-[sonOf]->moritz8,luis14-[brotherOf]->katharina1-[daughterOf]->emma7 => luis14-[sonOf]->emma7,luis14-[brotherOf]->paula12-[daughterOf]->moritz8 => luis14-[sonOf]->moritz8
grandfatherOf,fatherOf,greatGrandfatherOf,295,295,1.0,moritz8-[grandfatherOf]->leon16-[fatherOf]->lena18 => moritz8-[greatGrandfatherOf]->lena18,moritz8-[grandfatherOf]->jonas23-[fatherOf]->fabian26 => moritz8-[greatGrandfatherOf]->fabian26,marcel27-[grandfatherOf]->moritz31-[fatherOf]->hannah39 => marcel27-[greatGrandfatherOf]->hannah39
grandmotherOf,fatherOf,greatGrandmotherOf,295,295,1.0,emma7-[grandmotherOf]->leon16-[fatherOf]->lena18 => emma7-[greatGrandmotherOf]->lena18,emma7-[grandmotherOf]->jonas23-[fatherOf]->fabian26 => emma7-[greatGrandmotherOf]->fabian26,sofia28-[grandmotherOf]->moritz31-[fatherOf]->hannah39 => sofia28-[greatGrandmotherOf]->hannah39
brotherOf,greatGrandsonOf,greatGrandsonOf,292,292,1.0,nico4-[brotherOf]->elias6-[greatGrandsonOf]->david20 => nico4-[greatGrandsonOf]->david20,nico4-[brotherOf]->elias6-[greatGrandsonOf]->moritz8 => nico4-[greatGrandsonOf]->moritz8,nico4-[brotherOf]->elias6-[greatGrandsonOf]->emma7 => nico4-[greatGrandsonOf]->emma7
brotherOf,brotherOf,brotherOf,288,288,1.0,oskar24-[brotherOf]->adam9-[brotherOf]->olivia0 => oskar24-[brotherOf]->olivia0,oskar24-[brotherOf]->adam9-[brotherOf]->isabella11 => oskar24-[brotherOf]->isabella11,oskar24-[brotherOf]->adam9-[brotherOf]->selina10 => oskar24-[brotherOf]->selina10
brotherOf,greatGranddaughterOf,greatGrandsonOf,288,288,1.0,nico4-[brotherOf]->lisa5-[greatGranddaughterOf]->david20 => nico4-[greatGrandsonOf]->david20,nico4-[brotherOf]->lisa5-[greatGranddaughterOf]->moritz8 => nico4-[greatGrandsonOf]->moritz8,nico4-[brotherOf]->lisa5-[greatGranddaughterOf]->emma7 => nico4-[greatGrandsonOf]->emma7
fatherOf,grandfatherOf,greatGrandfatherOf,287,287,1.0,david20-[fatherOf]->dominik2-[grandfatherOf]->elias6 => david20-[greatGrandfatherOf]->elias6,david20-[fatherOf]->dominik2-[grandfatherOf]->lisa5 => david20-[greatGrandfatherOf]->lisa5,david20-[fatherOf]->dominik2-[grandfatherOf]->nico4 => david20-[greatGrandfatherOf]->nico4
motherOf,grandfatherOf,greatGrandmotherOf,287,287,1.0,ella19-[motherOf]->dominik2-[grandfatherOf]->elias6 => ella19-[greatGrandmotherOf]->elias6,ella19-[motherOf]->dominik2-[grandfatherOf]->lisa5 => ella19-[greatGrandmotherOf]->lisa5,ella19-[motherOf]->dominik2-[grandfatherOf]->nico4 => ella19-[greatGrandmotherOf]->nico4
auntOf,sisterOf,auntOf,285,285,1.0,katharina1-[auntOf]->johanna22-[sisterOf]->jonas23 => katharina1-[auntOf]->jonas23,selina10-[auntOf]->lisa5-[sisterOf]->elias6 => selina10-[auntOf]->elias6,selina10-[auntOf]->lisa5-[sisterOf]->nico4 => selina10-[auntOf]->nico4
nephewOf,daughterOf,grandsonOf,284,284,1.0,leon16-[nephewOf]->katharina1-[daughterOf]->moritz8 => leon16-[grandsonOf]->moritz8,leon16-[nephewOf]->katharina1-[daughterOf]->emma7 => leon16-[grandsonOf]->emma7,leon16-[nephewOf]->paula12-[daughterOf]->moritz8 => leon16-[grandsonOf]->moritz8
sisterOf,nephewOf,nieceOf,284,284,1.0,olivia0-[sisterOf]->oskar24-[nephewOf]->luis14 => olivia0-[nieceOf]->luis14,olivia0-[sisterOf]->oskar24-[nephewOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[sisterOf]->oskar24-[nephewOf]->natalie13 => olivia0-[nieceOf]->natalie13
brotherOf,sonOf,sonOf,273,273,1.0,oskar24-[brotherOf]->adam9-[sonOf]->katharina1 => oskar24-[sonOf]->katharina1,oskar24-[brotherOf]->adam9-[sonOf]->dominik2 => oskar24-[sonOf]->dominik2,nico4-[brotherOf]->elias6-[sonOf]->oliver3 => nico4-[sonOf]->oliver3
daughterOf,sonOf,granddaughterOf,273,273,1.0,olivia0-[daughterOf]->dominik2-[sonOf]->david20 => olivia0-[granddaughterOf]->david20,olivia0-[daughterOf]->dominik2-[sonOf]->ella19 => olivia0-[granddaughterOf]->ella19,selina10-[daughterOf]->dominik2-[sonOf]->david20 => selina10-[granddaughterOf]->david20
nieceOf,daughterOf,granddaughterOf,272,272,1.0,olivia0-[nieceOf]->paula12-[daughterOf]->moritz8 => olivia0-[granddaughterOf]->moritz8,olivia0-[nieceOf]->paula12-[daughterOf]->emma7 => olivia0-[granddaughterOf]->emma7,olivia0-[nieceOf]->natalie13-[daughterOf]->moritz8 => olivia0-[granddaughterOf]->moritz8
girlCousinOf,sisterOf,girlCousinOf,266,266,1.0,olivia0-[girlCousinOf]->johanna22-[sisterOf]->jonas23 => olivia0-[girlCousinOf]->jonas23,selina10-[girlCousinOf]->johanna22-[sisterOf]->jonas23 => selina10-[girlCousinOf]->jonas23,isabella11-[girlCousinOf]->johanna22-[sisterOf]->jonas23 => isabella11-[girlCousinOf]->jonas23
sonOf,sonOf,grandsonOf,265,265,1.0,leon16-[sonOf]->luis14-[sonOf]->moritz8 => leon16-[grandsonOf]->moritz8,leon16-[sonOf]->luis14-[sonOf]->emma7 => leon16-[grandsonOf]->emma7,oskar24-[sonOf]->dominik2-[sonOf]->david20 => oskar24-[grandsonOf]->david20
sisterOf,girlCousinOf,girlCousinOf,263,263,1.0,olivia0-[sisterOf]->isabella11-[girlCousinOf]->leon16 => olivia0-[girlCousinOf]->leon16,olivia0-[sisterOf]->isabella11-[girlCousinOf]->jonas23 => olivia0-[girlCousinOf]->jonas23,olivia0-[sisterOf]->isabella11-[girlCousinOf]->johanna22 => olivia0-[girlCousinOf]->johanna22
sisterOf,nieceOf,nieceOf,262,262,1.0,olivia0-[sisterOf]->isabella11-[nieceOf]->luis14 => olivia0-[nieceOf]->luis14,olivia0-[sisterOf]->isabella11-[nieceOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[sisterOf]->isabella11-[nieceOf]->natalie13 => olivia0-[nieceOf]->natalie13
granddaughterOf,sonOf,greatGranddaughterOf,258,258,1.0,lena18-[granddaughterOf]->luis14-[sonOf]->moritz8 => lena18-[greatGranddaughterOf]->moritz8,lena18-[granddaughterOf]->luis14-[sonOf]->emma7 => lena18-[greatGranddaughterOf]->emma7,lisa5-[granddaughterOf]->dominik2-[sonOf]->david20 => lisa5-[greatGranddaughterOf]->david20
fatherOf,grandmotherOf,greatGrandfatherOf,256,256,1.0,moritz8-[fatherOf]->paula12-[grandmotherOf]->fabian26 => moritz8-[greatGrandfatherOf]->fabian26,thomas42-[fatherOf]->beate36-[grandmotherOf]->raphael29 => thomas42-[greatGrandfatherOf]->raphael29,luca33-[fatherOf]->sofia28-[grandmotherOf]->marie43 => luca33-[greatGrandfatherOf]->marie43
motherOf,grandmotherOf,greatGrandmotherOf,256,256,1.0,emma7-[motherOf]->paula12-[grandmotherOf]->fabian26 => emma7-[greatGrandmotherOf]->fabian26,karin41-[motherOf]->beate36-[grandmotherOf]->raphael29 => karin41-[greatGrandmotherOf]->raphael29,alina32-[motherOf]->sofia28-[grandmotherOf]->marie43 => alina32-[greatGrandmotherOf]->marie43
sisterOf,fatherOf,auntOf,253,253,1.0,katharina1-[sisterOf]->luis14-[fatherOf]->leon16 => katharina1-[auntOf]->leon16,paula12-[sisterOf]->luis14-[fatherOf]->leon16 => paula12-[auntOf]->leon16,natalie13-[sisterOf]->luis14-[fatherOf]->leon16 => natalie13-[auntOf]->leon16
grandfatherOf,motherOf,greatGrandfatherOf,252,252,1.0,david20-[grandfatherOf]->olivia0-[motherOf]->elias6 => david20-[greatGrandfatherOf]->elias6,david20-[grandfatherOf]->olivia0-[motherOf]->lisa5 => david20-[greatGrandfatherOf]->lisa5,moritz8-[grandfatherOf]->olivia0-[motherOf]->elias6 => moritz8-[greatGrandfatherOf]->elias6
grandmotherOf,motherOf,greatGrandmotherOf,252,252,1.0,ella19-[grandmotherOf]->olivia0-[motherOf]->elias6 => ella19-[greatGrandmotherOf]->elias6,ella19-[grandmotherOf]->olivia0-[motherOf]->lisa5 => ella19-[greatGrandmotherOf]->lisa5,emma7-[grandmotherOf]->olivia0-[motherOf]->elias6 => emma7-[greatGrandmotherOf]->elias6
nieceOf,sonOf,granddaughterOf,250,250,1.0,olivia0-[nieceOf]->luis14-[sonOf]->moritz8 => olivia0-[granddaughterOf]->moritz8,olivia0-[nieceOf]->luis14-[sonOf]->emma7 => olivia0-[granddaughterOf]->emma7,selina10-[nieceOf]->luis14-[sonOf]->moritz8 => selina10-[granddaughterOf]->moritz8
brotherOf,nieceOf,nephewOf,249,249,1.0,jonas23-[brotherOf]->johanna22-[nieceOf]->katharina1 => jonas23-[nephewOf]->katharina1,jonas23-[brotherOf]->johanna22-[nieceOf]->natalie13 => jonas23-[nephewOf]->natalie13,jonas23-[brotherOf]->johanna22-[nieceOf]->luis14 => jonas23-[nephewOf]->luis14
sisterOf,boyCousinOf,girlCousinOf,247,247,1.0,olivia0-[sisterOf]->oskar24-[boyCousinOf]->leon16 => olivia0-[girlCousinOf]->leon16,olivia0-[sisterOf]->oskar24-[boyCousinOf]->jonas23 => olivia0-[girlCousinOf]->jonas23,olivia0-[sisterOf]->oskar24-[boyCousinOf]->johanna22 => olivia0-[girlCousinOf]->johanna22
sonOf,grandsonOf,greatGrandsonOf,244,244,1.0,fabian26-[sonOf]->jonas23-[grandsonOf]->moritz8 => fabian26-[greatGrandsonOf]->moritz8,fabian26-[sonOf]->jonas23-[grandsonOf]->emma7 => fabian26-[greatGrandsonOf]->emma7,dominik44-[sonOf]->moritz31-[grandsonOf]->marcel27 => dominik44-[greatGrandsonOf]->marcel27
girlCousinOf,brotherOf,girlCousinOf,241,241,1.0,olivia0-[girlCousinOf]->jonas23-[brotherOf]->johanna22 => olivia0-[girlCousinOf]->johanna22,selina10-[girlCousinOf]->jonas23-[brotherOf]->johanna22 => selina10-[girlCousinOf]->johanna22,isabella11-[girlCousinOf]->jonas23-[brotherOf]->johanna22 => isabella11-[girlCousinOf]->johanna22
brotherOf,nephewOf,nephewOf,238,238,1.0,oskar24-[brotherOf]->adam9-[nephewOf]->luis14 => oskar24-[nephewOf]->luis14,oskar24-[brotherOf]->adam9-[nephewOf]->paula12 => oskar24-[nephewOf]->paula12,oskar24-[brotherOf]->adam9-[nephewOf]->natalie13 => oskar24-[nephewOf]->natalie13
daughterOf,daughterOf,granddaughterOf,234,234,1.0,olivia0-[daughterOf]->katharina1-[daughterOf]->moritz8 => olivia0-[granddaughterOf]->moritz8,olivia0-[daughterOf]->katharina1-[daughterOf]->emma7 => olivia0-[granddaughterOf]->emma7,selina10-[daughterOf]->katharina1-[daughterOf]->moritz8 => selina10-[granddaughterOf]->moritz8
nephewOf,sonOf,grandsonOf,234,234,1.0,jonas23-[nephewOf]->luis14-[sonOf]->moritz8 => jonas23-[grandsonOf]->moritz8,jonas23-[nephewOf]->luis14-[sonOf]->emma7 => jonas23-[grandsonOf]->emma7,oskar24-[nephewOf]->luis14-[sonOf]->moritz8 => oskar24-[grandsonOf]->moritz8
grandsonOf,daughterOf,greatGrandsonOf,233,233,1.0,fabian26-[grandsonOf]->paula12-[daughterOf]->moritz8 => fabian26-[greatGrandsonOf]->moritz8,fabian26-[grandsonOf]->paula12-[daughterOf]->emma7 => fabian26-[greatGrandsonOf]->emma7,nico4-[grandsonOf]->katharina1-[daughterOf]->moritz8 => nico4-[greatGrandsonOf]->moritz8
sisterOf,motherOf,auntOf,232,232,1.0,katharina1-[sisterOf]->paula12-[motherOf]->johanna22 => katharina1-[auntOf]->johanna22,selina10-[sisterOf]->olivia0-[motherOf]->elias6 => selina10-[auntOf]->elias6,selina10-[sisterOf]->olivia0-[motherOf]->lisa5 => selina10-[auntOf]->lisa5
brotherOf,motherOf,uncleOf,229,229,1.0,luis14-[brotherOf]->katharina1-[motherOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[brotherOf]->katharina1-[motherOf]->adam9 => luis14-[uncleOf]->adam9,luis14-[brotherOf]->katharina1-[motherOf]->isabella11 => luis14-[uncleOf]->isabella11
grandsonOf,sonOf,greatGrandsonOf,229,229,1.0,nico4-[grandsonOf]->dominik2-[sonOf]->david20 => nico4-[greatGrandsonOf]->david20,nico4-[grandsonOf]->dominik2-[sonOf]->ella19 => nico4-[greatGrandsonOf]->ella19,elias6-[grandsonOf]->dominik2-[sonOf]->david20 => elias6-[greatGrandsonOf]->david20
uncleOf,sisterOf,uncleOf,226,226,1.0,luis14-[uncleOf]->johanna22-[sisterOf]->jonas23 => luis14-[uncleOf]->jonas23,luis14-[uncleOf]->olivia0-[sisterOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[uncleOf]->olivia0-[sisterOf]->adam9 => luis14-[uncleOf]->adam9
